"MessageID","Waktu","Magnitudo","Kedalaman","Lintang","Bujur","Lokasi","Dirasakan","RawText","EventID"
"30656","20-Jan-26 16:31:05","2.2","5","4.75","96.82","5 km Barat Laut KAB-BENERMERIAH-ACEH","Bener Meriah II MMI","Info Gempa Mag:2.2, 20-Jan-26 16:31:05 WIB, Lok: 4.75 LU - 96.82 BT (5 km Barat Laut KAB-BENERMERIAH-ACEH), Kedlmn: 5 km ::BMKG","-"
"30698","21-Jan-26 00:58:08","2.9","3","4.14","97.39","17 km Utara KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.9, 21-Jan-26 00:58:08 WIB, Lok: 4.14 LU - 97.39 BT (17 km Utara KAB-GAYOLUES-ACEH), Kedlmn: 3 km ::BMKG","-"
"30707","21-Jan-26 01:50:37","2.2","5","4.96","95.93","39 km Barat KAB-PIDIEJAYA-ACEH","","Info Gempa Mag:2.2, 21-Jan-26 01:50:37 WIB, Lok: 4.96 LU - 95.93 BT (39 km Barat KAB-PIDIEJAYA-ACEH), Kedlmn: 5 km ::BMKG","-"
"30722","21-Jan-26 03:51:08","3.3","37","4.13","95.55","57 km Selatan CALANG-ACEHJAYA","","Info Gempa Mag:3.3, 21-Jan-26 03:51:08 WIB, Lok: 4.13 LU - 95.55 BT (57 km Selatan CALANG-ACEHJAYA), Kedlmn: 37 km ::BMKG","-"
"30781","21-Jan-26 13:11:07","4.2","10","4.18","97.52","28 km Timur Laut KAB-GAYOLUES-ACEH","Kec. Pining Kab Gayo Lues III-IV MMI; Blangkejeren II-III MMI","Info Gempa Mag:4.2, 21-Jan-26 13:11:07 WIB, Lok: 4.18 LU - 97.52 BT (28 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 10 km ::BMKG","-"
"30809","21-Jan-26 19:08:22","2.7","6","5.43","94.72","84 km Barat Daya KOTA-SABANG-ACEH","","Info Gempa Mag:2.7, 21-Jan-26 19:08:22 WIB, Lok: 5.43 LU - 94.72 BT (84 km Barat Daya KOTA-SABANG-ACEH), Kedlmn: 6 km ::BMKG","-"
"30862","22-Jan-26 05:08:52","2.4","11","4.06","97.47","16 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.4, 22-Jan-26 05:08:52 WIB, Lok: 4.06 LU - 97.47 BT (16 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 11 km ::BMKG","-"
"30885","22-Jan-26 09:00:14","2.3","7","4.36","97.6","45 km Barat KOTA-LANGSA-ACEH","","Info Gempa Mag:2.3, 22-Jan-26 09:00:14 WIB, Lok: 4.36 LU - 97.60 BT (45 km Barat KOTA-LANGSA-ACEH), Kedlmn: 7 km ::BMKG","-"
"30900","22-Jan-26 14:06:42","2.2","2","4.21","97.45","26 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.2, 22-Jan-26 14:06:42 WIB, Lok: 4.21 LU - 97.45 BT (26 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 2 km ::BMKG","-"
"30903","22-Jan-26 16:19:36","2.6","1","4.16","97.44","21 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.6, 22-Jan-26 16:19:36 WIB, Lok: 4.16 LU - 97.44 BT (21 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 1 km ::BMKG","-"
